[3, 11, 19, 122, 644, 5]
[3, 16, 19, 120, 643, 5]
[3, 21, 19, 126, 639, 5]
[3, 26, 19, 131, 641, 5]
[3, 27, 55, 124, 651, 5]
[3, 31, 50, 134, 649, 5]
[3, 36, 50, 126, 650, 5]
[3, 41, 50, 129, 648, 5]
[3, 46, 50, 129, 647, 5]
[3, 50, 22, 119, 653, 5]
[3, 55, 22, 111, 662, 5]
[3, 55, 33, 101, 669, 5]
[4, 0, 33, 99, 677, 5]
[4, 5, 33, 91, 672, 5]
[4, 10, 33, 89, 670, 5]
[4, 15, 33, 85, 668, 5]
[4, 25, 33, 86, 671, 5]
[4, 30, 33, 83, 680, 5]
[4, 35, 33, 80, 677, 5]
[4, 40, 33, 88, 686, 5]
[4, 45, 33, 87, 690, 5]
[4, 50, 33, 81, 698, 5]
[4, 55, 33, 74, 678, 5]
[5, 5, 33, 78, 684, 5]
[5, 10, 33, 73, 690, 5]
[5, 12, 42, 70, 680, 5]
[5, 17, 42, 75, 687, 5]
[5, 22, 42, 75, 695, 5]
[5, 27, 42, 68, 701, 5]
[5, 32, 42, 65, 694, 5]
[5, 37, 42, 72, 698, 5]
[5, 42, 42, 76, 692, 5]
[5, 47, 42, 71, 699, 5]
[5, 52, 42, 71, 701, 5]
[5, 57, 42, 77, 704, 5]
[6, 2, 42, 73, 709, 5]
[6, 7, 42, 76, 713, 5]
[6, 22, 42, 94, 724, 5]
[6, 32, 42, 82, 698, 5]
[6, 37, 42, 74, 691, 5]
[6, 42, 42, 81, 695, 5]
[6, 47, 42, 85, 692, 5]
[6, 52, 42, 88, 684, 5]
[6, 57, 42, 95, 679, 5]
[7, 2, 42, 96, 682, 5]
[7, 7, 42, 99, 678, 5]
[7, 12, 42, 104, 676, 5]
[7, 17, 42, 104, 682, 5]
[7, 22, 42, 103, 676, 5]
[7, 27, 42, 94, 670, 5]
[7, 31, 44, 88, 660, 5]
[7, 36, 44, 87, 653, 5]
[7, 41, 44, 85, 660, 5]
[7, 46, 44, 93, 656, 5]
[7, 51, 44, 100, 656, 5]
[7, 56, 44, 96, 660, 5]
[8, 1, 44, 95, 662, 5]
[8, 6, 44, 94, 664, 5]
[8, 11, 44, 87, 673, 5]
[8, 16, 44, 94, 665, 5]
[8, 21, 44, 95, 663, 5]
[8, 26, 44, 104, 663, 5]
[8, 31, 44, 104, 658, 5]
[8, 36, 44, 104, 655, 5]
[8, 37, 26, 112, 665, 5]
[8, 42, 26, 112, 674, 5]
[8, 43, 29, 102, 683, 5]
[8, 48, 29, 110, 687, 5]
[8, 53, 29, 114, 692, 5]
[8, 58, 29, 112, 692, 5]
[9, 3, 29, 112, 691, 5]
[9, 8, 29, 110, 693, 5]
[9, 10, 1, 120, 693, 5]
[9, 15, 1, 111, 691, 5]
[9, 20, 1, 109, 685, 5]
[9, 24, 10, 99, 682, 5]
[9, 29, 10, 100, 682, 5]
[9, 30, 27, 110, 690, 5]
[9, 35, 27, 117, 684, 5]
